Company Name,Symbol,Prediction
Adani Enterprises Ltd.,ADANIENT,Down
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Up
APL Apollo Tubes Ltd.,APLAPOLLO,Down
Ashok Leyland Ltd.,ASHOKLEY,Down
Axis Bank Ltd.,AXISBANK,Down
Bajaj Auto Ltd.,BAJAJ-AUTO,Up
Bajaj Finance Ltd,BAJAJFINSV,Down
Bank of Baroda,BANKBARODA,Down
Bharat Forge Ltd.,BHARATFORG,Down
Bharti Airtel Ltd.,BHARTIARTL,Down
Britannia Industries Ltd.,BRITANNIA,Down
Canara Bank,CANBK,Down
Coforge Ltd.,COFORGE,Down
Colgate Palmolive (India) Ltd.,COLPAL,Up
Eicher Motors Ltd.,EICHERMOT,Down
Federal Bank Ltd.,FEDERALBNK,Down
Godrej Consumer Products Ltd.,GODREJPROP,Down
Grasim Industries Ltd.,GRASIM,Down
HCL Technologies Ltd.,HCLTECH,Down
HDFC Bank Ltd.,HDFCBANK,Down
Hero MotoCorp Ltd.,HEROMOTOCO,Down
Hindalco Industries Ltd.,HINDALCO,Down
Hindustan Unilever Ltd.,HINDUNILVR,Down
ICICI Bank Ltd.,ICICIBANK,Down
IDFC First Bank Ltd.,IDFCFIRSTB,Down
IndusInd Bank Ltd.,INDBANK,Down
InterGlobe Aviation Ltd.,INDIGO,Down
Infosys Ltd.,INFY,Down
ITC Ltd.,ITC,Up
Jindal Steel & Power Ltd.,JINDALSTEL,Down
Jindal Stainless Ltd.,JSL,Down
JSW Steel Ltd.,JSWSTEEL,Down
Kotak Mahindra Bank Ltd.,KOTAKBANK,Down
Larsen & Toubro Ltd.,LT,Down
LTIMindtree Ltd.,LTIM,Down
L&T Technology Services Ltd.,LTTS,Down
Mahindra & Mahindra Ltd.,M&M,Down
Marico Ltd.,MARICO,Down
Maruti Suzuki India Ltd.,MARUTI,Down
Samvardhana Motherson International Ltd.,MOTHERSON,Down
MphasiS Ltd.,MPHASIS,Down
National Aluminium Co. Ltd.,NATIONALUM,Down
Nestle India Ltd.,NESTLEIND,Down
NMDC Ltd.,NMDC,Down
Oil & Natural Gas Corporation Ltd.,ONGC,Down
Persistent Systems Ltd.,PERSISTENT,Down
Power Grid Corporation of India Ltd.,POWERGRID,Up
Reliance Industries Ltd.,RELIANCE,Down
State Bank of India,SBIN,Down
Tata Consumer Products Ltd.,TATACONSUM,Down
Tata Motors Ltd.,TATAMOTORS,Down
Tata Steel Ltd.,TATASTEEL,Down
Tata Consultancy Services Ltd.,TCS,Down
Tech Mahindra Ltd.,TECHM,Down
TVS Motor Company Ltd.,TVSMOTOR,Up
UltraTech Cement Ltd.,ULTRACEMCO,Down
Varun Beverages Ltd.,VBL,Down
Vedanta Ltd.,VEDL,Down
Wipro Ltd.,WIPRO,Down
NIFTY 50,NIFTY 50,Down
NIFTY METAL,NIFTY METAL,Down
NIFTY FIN SERVICE,NIFTY FIN SERVICE,Down
NIFTY AUTO,NIFTY AUTO,Down
NIFTY FMCG,NIFTY FMCG,Down
NIFTY IT,NIFTY IT,Down
NIFTY BANK,NIFTY BANK,Down
NIFTY PSU BANK,NIFTY PSU BANK,Down
NIFTY INFRA,NIFTY INFRA,Down
