Company Name,Symbol,Prediction
Adani Enterprises Ltd.,ADANIENT,Up
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Down
APL Apollo Tubes Ltd.,APLAPOLLO,Down
Ashok Leyland Ltd.,ASHOKLEY,Down
Axis Bank Ltd.,AXISBANK,Down
Bajaj Auto Ltd.,BAJAJ-AUTO,Up
Bajaj Finance Ltd,BAJAJFINSV,Down
Bank of Baroda,BANKBARODA,Down
Bharat Forge Ltd.,BHARATFORG,Up
Bharti Airtel Ltd.,BHARTIARTL,Up
Britannia Industries Ltd.,BRITANNIA,Down
Canara Bank,CANBK,Up
Coforge Ltd.,COFORGE,Up
Colgate Palmolive (India) Ltd.,COLPAL,Up
Eicher Motors Ltd.,EICHERMOT,Up
Federal Bank Ltd.,FEDERALBNK,Up
Godrej Consumer Products Ltd.,GODREJPROP,Up
Grasim Industries Ltd.,GRASIM,Down
HCL Technologies Ltd.,HCLTECH,Up
HDFC Bank Ltd.,HDFCBANK,Up
Hero MotoCorp Ltd.,HEROMOTOCO,Up
Hindalco Industries Ltd.,HINDALCO,Down
Hindustan Unilever Ltd.,HINDUNILVR,Down
ICICI Bank Ltd.,ICICIBANK,Down
IDFC First Bank Ltd.,IDFCFIRSTB,Down
IndusInd Bank Ltd.,INDBANK,Up
InterGlobe Aviation Ltd.,INDIGO,Up
Infosys Ltd.,INFY,Down
ITC Ltd.,ITC,Up
Jindal Steel & Power Ltd.,JINDALSTEL,Down
Jindal Stainless Ltd.,JSL,Up
JSW Steel Ltd.,JSWSTEEL,Down
Kotak Mahindra Bank Ltd.,KOTAKBANK,Down
Larsen & Toubro Ltd.,LT,Down
LTIMindtree Ltd.,LTIM,Up
L&T Technology Services Ltd.,LTTS,Down
Mahindra & Mahindra Ltd.,M&M,Up
Marico Ltd.,MARICO,Down
Maruti Suzuki India Ltd.,MARUTI,Down
Samvardhana Motherson International Ltd.,MOTHERSON,Up
MphasiS Ltd.,MPHASIS,Up
National Aluminium Co. Ltd.,NATIONALUM,Down
Nestle India Ltd.,NESTLEIND,Up
NMDC Ltd.,NMDC,Up
Oil & Natural Gas Corporation Ltd.,ONGC,Down
Persistent Systems Ltd.,PERSISTENT,Down
Power Grid Corporation of India Ltd.,POWERGRID,Up
Reliance Industries Ltd.,RELIANCE,Down
State Bank of India,SBIN,Up
Tata Consumer Products Ltd.,TATACONSUM,Down
Tata Motors Ltd.,TATAMOTORS,Down
Tata Steel Ltd.,TATASTEEL,Down
Tata Consultancy Services Ltd.,TCS,Up
Tech Mahindra Ltd.,TECHM,Down
TVS Motor Company Ltd.,TVSMOTOR,Down
UltraTech Cement Ltd.,ULTRACEMCO,Down
Varun Beverages Ltd.,VBL,Up
Vedanta Ltd.,VEDL,Down
Wipro Ltd.,WIPRO,Down
NIFTY 50,NIFTY 50,Down
NIFTY METAL,NIFTY METAL,Down
NIFTY FIN SERVICE,NIFTY FIN SERVICE,Down
NIFTY AUTO,NIFTY AUTO,Up
NIFTY FMCG,NIFTY FMCG,Up
NIFTY IT,NIFTY IT,Down
NIFTY BANK,NIFTY BANK,Down
NIFTY PSU BANK,NIFTY PSU BANK,Down
NIFTY INFRA,NIFTY INFRA,Down
