Company Name,Symbol,Prediction
Adani Enterprises Ltd.,ADANIENT,Up
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Up
APL Apollo Tubes Ltd.,APLAPOLLO,Down
Ashok Leyland Ltd.,ASHOKLEY,Down
Axis Bank Ltd.,AXISBANK,Down
Bajaj Auto Ltd.,BAJAJ-AUTO,Up
Bajaj Finance Ltd,BAJAJFINSV,Up
Bank of Baroda,BANKBARODA,Down
Bharat Forge Ltd.,BHARATFORG,Down
Bharti Airtel Ltd.,BHARTIARTL,Up
Britannia Industries Ltd.,BRITANNIA,Down
Canara Bank,CANBK,Down
Coforge Ltd.,COFORGE,Down
Colgate Palmolive (India) Ltd.,COLPAL,Up
Eicher Motors Ltd.,EICHERMOT,Up
Federal Bank Ltd.,FEDERALBNK,Up
Godrej Consumer Products Ltd.,GODREJPROP,Down
Grasim Industries Ltd.,GRASIM,Up
HCL Technologies Ltd.,HCLTECH,Down
HDFC Bank Ltd.,HDFCBANK,Down
Hero MotoCorp Ltd.,HEROMOTOCO,Up
Hindalco Industries Ltd.,HINDALCO,Down
Hindustan Unilever Ltd.,HINDUNILVR,Up
ICICI Bank Ltd.,ICICIBANK,Down
IDFC First Bank Ltd.,IDFCFIRSTB,Up
IndusInd Bank Ltd.,INDBANK,Down
InterGlobe Aviation Ltd.,INDIGO,Up
Infosys Ltd.,INFY,Up
ITC Ltd.,ITC,Up
Jindal Steel & Power Ltd.,JINDALSTEL,Down
Jindal Stainless Ltd.,JSL,Down
JSW Steel Ltd.,JSWSTEEL,Down
Kotak Mahindra Bank Ltd.,KOTAKBANK,Up
Larsen & Toubro Ltd.,LT,Down
LTIMindtree Ltd.,LTIM,Up
L&T Technology Services Ltd.,LTTS,Up
Mahindra & Mahindra Ltd.,M&M,Down
Marico Ltd.,MARICO,Down
Maruti Suzuki India Ltd.,MARUTI,Down
Samvardhana Motherson International Ltd.,MOTHERSON,Up
MphasiS Ltd.,MPHASIS,Up
National Aluminium Co. Ltd.,NATIONALUM,Down
Nestle India Ltd.,NESTLEIND,Up
NMDC Ltd.,NMDC,Up
Oil & Natural Gas Corporation Ltd.,ONGC,Down
Persistent Systems Ltd.,PERSISTENT,Up
Power Grid Corporation of India Ltd.,POWERGRID,Down
Reliance Industries Ltd.,RELIANCE,Down
State Bank of India,SBIN,Up
Tata Consumer Products Ltd.,TATACONSUM,Up
Tata Motors Ltd.,TATAMOTORS,Up
Tata Steel Ltd.,TATASTEEL,Down
Tata Consultancy Services Ltd.,TCS,Down
Tech Mahindra Ltd.,TECHM,Up
TVS Motor Company Ltd.,TVSMOTOR,Down
UltraTech Cement Ltd.,ULTRACEMCO,Up
Varun Beverages Ltd.,VBL,Down
Vedanta Ltd.,VEDL,Down
Wipro Ltd.,WIPRO,Down
NIFTY 50,NIFTY 50,Down
NIFTY METAL,NIFTY METAL,Down
NIFTY FIN SERVICE,NIFTY FIN SERVICE,Down
NIFTY AUTO,NIFTY AUTO,Up
NIFTY FMCG,NIFTY FMCG,Up
NIFTY IT,NIFTY IT,Down
NIFTY BANK,NIFTY BANK,Down
NIFTY PSU BANK,NIFTY PSU BANK,Up
NIFTY INFRA,NIFTY INFRA,Down
